cores,targets,total_series,replicate,interval_s,scrape_s,ingest_rate_per_s,cpu_cores,cpu_pct_of_ncores,rss_gib,min_up,event
4,8,1600000,1,0.467,0.33978871,3472221,3.845,96.1,3.23,1,
4,8,1600000,2,0.457,0.262305492,3566425,3.987,99.7,3.19,1,
4,8,1600000,3,0.488,0.227699485,3361766,3.713,92.8,3.09,1,
4,8,1600000,4,0.457,0.264704169,3581599,3.906,97.6,3.15,1,
4,8,1600000,5,0.476,0.480102089,3308428,3.988,99.7,3.41,1,
8,16,3200000,1,0.499,0.478944598,6325143,7.759,97.0,7.20,1,
8,16,3200000,2,0.515,0.497604935,6254515,7.629,95.4,6.32,1,
8,16,3200000,3,0.527,0.291596218,6268936,7.546,94.3,7.26,1,
8,16,3200000,4,0.516,0.292754451,6329116,7.711,96.4,6.51,1,
8,16,3200000,5,0.494,0.541471631,6552709,7.813,97.7,6.27,1,
16,32,6400000,1,0.539,0.576319727,11832173,15.346,95.9,12.16,1,
16,32,6400000,2,0.560,0.296123099,11705952,15.235,95.2,13.27,1,
16,32,6400000,3,0.546,0.548289736,11737728,15.346,95.9,12.45,1,
16,32,6400000,4,0.571,0.331790117,11546971,14.801,92.5,13.30,1,
16,32,6400000,5,0.571,0.297729543,11604516,14.975,93.6,13.64,1,
24,48,9600000,1,0.632,0.28055393,15769774,21.177,88.2,17.15,1,
24,48,9600000,2,0.575,0.575861709,16518784,23.014,95.9,19.00,1,
24,48,9600000,3,0.599,0.352359112,16417062,22.564,94.0,18.98,1,
24,48,9600000,4,0.573,0.606268234,16658589,22.982,95.8,18.68,1,
24,48,9600000,5,0.586,0.302232331,16728536,23.123,96.3,19.66,1,
32,64,12800000,1,0.645,0.296286323,20617547,29.849,93.3,25.29,1,
32,64,12800000,2,0.951,0.282817029,14190152,18.899,59.1,24.71,1,
32,64,12800000,3,0.653,0.312742951,19348074,29.457,92.1,20.32,1,
32,64,12800000,4,0.929,0.282010217,14544910,19.486,60.9,23.98,1,
32,64,12800000,5,1.004,0.258997831,13446839,18.676,58.4,22.93,1,
40,80,16000000,1,1.422,0.311047721,12024436,17.356,43.4,29.38,1,
40,80,16000000,2,1.404,0.315889211,12237841,17.622,44.1,29.86,1,
40,80,16000000,3,0.738,0.813009722,20602298,34.735,86.8,29.90,1,
40,80,16000000,4,1.402,0.343974345,12347599,18.140,45.3,29.18,1,
40,80,16000000,5,1.337,0.341895235,12781647,18.788,47.0,30.28,1,
48,96,19200000,1,1.747,0.348250867,11594263,16.932,35.3,37.16,1,
48,96,19200000,2,1.764,0.315070935,11945385,18.968,39.5,43.04,1,
48,96,19200000,3,1.755,0.324243208,11726601,20.174,42.0,34.13,1,
48,96,19200000,4,1.783,0.322751009,11825346,17.598,36.7,36.48,1,
48,96,19200000,5,1.785,0.341860393,11557281,16.969,35.4,36.53,1,
56,112,22400000,1,2.170,0.309137421,10429935,15.636,27.9,38.97,1,
56,112,22400000,2,2.167,0.332378643,10396040,14.942,26.7,39.76,1,
56,112,22400000,3,2.170,0.315843833,10329371,14.998,26.8,39.44,1,
